v,m,t
"[[3.40852803e-02 4.40811085e-03 6.53285590e-01 4.23875668e-02
  9.28686711e-04 9.60036061e-01 6.82349601e-01 1.34349522e-03
  3.67645859e-01 6.21523707e-01 3.62420271e-01 3.13278306e-02
  2.85744511e-01 3.35772291e-02 2.16937359e-01 5.80960944e-01
  3.94659913e-02 4.19174485e-01 7.42334554e-04 8.74841481e-02
  5.24758461e-02 1.87448091e-02 7.33049629e-03 2.14639890e-01
  2.34878209e-04 8.33310655e-02 3.36201062e-02 1.39437536e-01
  1.68326202e-01 3.86774751e-01 8.21296771e-04 8.95162693e-01
  4.99511580e-03 6.86502154e-01 2.00556477e-01 4.42349398e-01
  5.33187388e-01 1.97550630e-32 4.55454832e-01 7.07227679e-03
  6.28747741e-33 1.02631577e-33 5.48579447e-01 8.56348585e-05
  0.00000000e+00 0.00000000e+00 3.20781445e-33 1.24413358e-33]]","[[ 1.84621993e-01  6.63936055e-02  8.08260843e-01  2.05882410e-01
   3.04743615e-02  9.79814299e-01  8.26044551e-01 -3.66537205e-02
   6.06338073e-01  7.88367749e-01 -6.02013514e-01 -1.76996696e-01
   5.34550756e-01  1.83240905e-01  4.65765347e-01  7.62207940e-01
  -1.98660492e-01 -6.47436858e-01 -2.72458172e-02  2.95777193e-01
  -2.29076071e-01 -1.36911684e-01 -8.56183175e-02 -4.63292445e-01
   1.53257368e-02 -2.88671207e-01 -1.83357864e-01 -3.73413357e-01
  -4.10275764e-01 -6.21912173e-01 -2.86582758e-02 -9.46130379e-01
  -7.06761332e-02  8.28554255e-01  4.47835323e-01 -6.65093526e-01
   7.30196815e-01 -1.40552706e-16  6.74873938e-01 -8.40968298e-02
  -7.92936152e-17 -3.20361635e-17  7.40661493e-01  9.25391045e-03
   0.00000000e+00  0.00000000e+00 -5.66375710e-17 -3.52722778e-17]]",1
"[[6.87548409e-02 8.54731731e-03 1.29425928e+00 8.33026875e-02
  1.87299842e-03 1.90144910e+00 1.35345140e+00 2.82517443e-03
  7.31902460e-01 1.23695318e+00 7.16945203e-01 6.25454860e-02
  5.71981693e-01 6.82075112e-02 4.31935427e-01 1.15059842e+00
  7.90469420e-02 8.34217271e-01 1.49451388e-03 1.73541751e-01
  1.02988487e-01 3.73132001e-02 1.48128973e-02 4.25893929e-01
  4.81531681e-04 1.65323205e-01 6.68881628e-02 2.75762334e-01
  3.34714431e-01 7.66021099e-01 1.59262445e-03 1.77565966e+00
  9.89758146e-03 1.36613071e+00 3.97666151e-01 8.78344206e-01
  1.06154889e+00 2.19885042e-32 8.98831161e-01 1.39193549e-02
  6.28034395e-33 3.75671138e-32 1.08655434e+00 1.85213716e-04
  0.00000000e+00 0.00000000e+00 3.17573630e-33 1.23169225e-33]]","[[ 3.53270492e-01  1.24432584e-01  1.53211267e+00  3.88614105e-01
   5.83073168e-02  1.85703203e+00  1.56680228e+00 -7.16550544e-02
   1.15227913e+00  1.49797546e+00 -1.14026779e+00 -3.36866545e-01
   1.01877089e+00  3.51908938e-01  8.85201089e-01  1.44456943e+00
  -3.78733461e-01 -1.23017640e+00 -5.20821258e-02  5.61042558e-01
  -4.32083049e-01 -2.60172474e-01 -1.63980050e-01 -8.78916054e-01
   2.95729684e-02 -5.47598196e-01 -3.48336718e-01 -7.07177362e-01
  -7.79213418e-01 -1.17868307e+00 -5.37127033e-02 -1.79462316e+00
  -1.33981930e-01  1.57424791e+00  8.49275097e-01 -1.26222436e+00
   1.38772034e+00 -7.71923459e-17  1.27666293e+00 -1.58860465e-01
  -6.38982431e-17 -2.20015865e-16  1.40379321e+00  1.83502561e-02
   0.00000000e+00  0.00000000e+00 -5.09738139e-17 -3.17450500e-17]]",2
"[[1.04004632e-01 1.24216468e-02 1.92300135e+00 1.22764762e-01
  2.83195240e-03 2.82440198e+00 2.01334882e+00 4.45184721e-03
  1.09273596e+00 1.84629635e+00 1.06361291e+00 9.36488004e-02
  8.58703364e-01 1.03899467e-01 6.45001377e-01 1.70898590e+00
  1.18731164e-01 1.24508686e+00 2.25566617e-03 2.58170128e-01
  1.51582524e-01 5.57121837e-02 2.24401468e-02 6.33782795e-01
  7.39732756e-04 2.45988414e-01 9.97941599e-02 4.08965448e-01
  4.99165992e-01 1.13776424e+00 2.31432005e-03 2.64158243e+00
  1.47078312e-02 2.03886249e+00 5.91336512e-01 1.30799126e+00
  1.58509720e+00 5.07179119e-32 1.33027988e+00 2.05422693e-02
  9.06781137e-32 3.97816073e-32 1.61400319e+00 2.99042740e-04
  0.00000000e+00 0.00000000e+00 3.27996783e-33 1.29534380e-33]]","[[ 5.07514906e-01  1.74916288e-01  2.17995363e+00  5.50489093e-01
   8.37445234e-02  2.64187886e+00  2.23075104e+00 -1.05170313e-01
   1.64380695e+00  2.13666552e+00 -1.62108314e+00 -4.81305602e-01
   1.45767239e+00  5.07437815e-01  1.26292695e+00  2.05502538e+00
  -5.42043342e-01 -1.75462441e+00 -7.47324384e-02  7.98815479e-01
  -6.11639018e-01 -3.71166597e-01 -2.35760151e-01 -1.25161950e+00
   4.28334517e-02 -7.79750282e-01 -4.96737538e-01 -1.00518817e+00
  -1.11092448e+00 -1.67677202e+00 -7.55006275e-02 -2.55520306e+00
  -1.90649603e-01  2.24531155e+00  1.20892269e+00 -1.79814277e+00
   1.97981341e+00 -2.39618028e-16  1.81265093e+00 -2.25206456e-01
  -3.48129432e-16 -2.48907939e-16  1.99711300e+00  2.72707482e-02
   0.00000000e+00  0.00000000e+00 -5.75378602e-17 -1.98545555e-17]]",3
"[[1.39830329e-01 1.60355089e-02 2.53959500e+00 1.60793678e-01
  3.80448775e-03 3.72905868e+00 2.66208584e+00 6.23025801e-03
  1.45011384e+00 2.44956134e+00 1.40246393e+00 1.24633716e-01
  1.14590143e+00 1.40661040e-01 8.56142389e-01 2.25619928e+00
  1.58506826e-01 1.65174255e+00 3.02492855e-03 3.41367160e-01
  1.98302178e-01 7.39486296e-02 3.02047963e-02 8.38327029e-01
  1.00919391e-03 3.25339208e-01 1.32328193e-01 5.39039789e-01
  6.61683477e-01 1.50203069e+00 2.98681698e-03 3.49302363e+00
  1.94263304e-02 2.70467545e+00 7.81576071e-01 1.73129774e+00
  2.10384439e+00 1.19361681e-31 1.74995227e+00 2.69421721e-02
  1.08933037e-31 3.94966695e-32 2.13100665e+00 4.27263809e-04
  0.00000000e+00 0.00000000e+00 3.62473320e-33 2.50961094e-33]]","[[ 6.48767955e-01  2.18564488e-01  2.75934378e+00  6.93572874e-01
   1.07006361e-01  3.34355884e+00  2.82552098e+00 -1.37349057e-01
   2.08630782e+00  2.71149625e+00 -2.05014921e+00 -6.11840662e-01
   1.85576644e+00  6.51117713e-01  1.60310079e+00  2.60072404e+00
  -6.90232126e-01 -2.22654636e+00 -9.53984738e-02  1.01181400e+00
  -7.70100887e-01 -4.71139571e-01 -3.01565628e-01 -1.58567652e+00
   5.51891715e-02 -9.87800914e-01 -6.30181164e-01 -1.27095339e+00
  -1.40911084e+00 -2.12199293e+00 -9.43255553e-02 -3.23662300e+00
  -2.41338334e-01  2.84915326e+00  1.53092197e+00 -2.27892398e+00
   2.51299427e+00  4.73094530e-17  2.28939434e+00 -2.83958964e-01
  -1.74890680e-16 -2.13392727e-16  2.52756846e+00  3.59984320e-02
   0.00000000e+00  0.00000000e+00 -3.23530410e-17 -5.29008082e-17]]",4
"[[1.76227328e-01 1.93937032e-02 3.14412637e+00 1.97409786e-01
  4.78947078e-03 4.61558440e+00 3.29970704e+00 8.16708343e-03
  1.80400484e+00 3.04675643e+00 1.73354117e+00 1.55496278e-01
  1.43356797e+00 1.78499495e-01 1.06536566e+00 2.79231684e+00
  1.98361978e-01 2.05414443e+00 3.80144585e-03 4.23131271e-01
  2.43191273e-01 9.20292502e-02 3.80990146e-02 1.03954704e+00
  1.28956870e-03 4.03388591e-01 1.64480461e-01 6.65980155e-01
  8.22270749e-01 1.85884829e+00 3.61065033e-03 4.33007698e+00
  2.40535739e-02 3.36354864e+00 9.68394368e-01 2.14827120e+00
  2.61780199e+00 2.05600751e-31 2.15799997e+00 3.31203328e-02
  1.14021143e-31 4.79054749e-32 2.63764753e+00 5.69861092e-04
  0.00000000e+00 0.00000000e+00 3.58848587e-33 5.83490938e-33]]","[[ 7.78301299e-01  2.56025401e-01  3.27708901e+00  8.19725294e-01
   1.28290533e-01  3.97035658e+00  3.35797934e+00 -1.68325761e-01
   2.48463020e+00  3.22882027e+00 -2.43258801e+00 -7.29846159e-01
   2.21711351e+00  7.84109617e-01  1.90946479e+00  3.08810033e+00
  -8.24777625e-01 -2.65113149e+00 -1.14262263e-01  1.20248493e+00
  -9.09590491e-01 -5.61212009e-01 -3.61942297e-01 -1.88493338e+00
   6.67133388e-02 -1.17415724e+00 -7.50126294e-01 -1.50763101e+00
  -1.67710575e+00 -2.51957877e+00 -1.10460587e-01 -3.84676132e+00
  -2.86641571e-01  3.39244076e+00  1.81900327e+00 -2.71003570e+00
   2.99312907e+00 -2.53111680e-16  2.71279472e+00 -3.35859907e-01
  -2.35998278e-16 -9.82250361e-17  3.00141394e+00  4.45175789e-02
   0.00000000e+00  0.00000000e+00 -2.91177369e-17 -1.05493320e-16]]",5
"[[2.13190748e-01 2.25014258e-02 3.73668456e+00 2.32633884e-01
  5.78570124e-03 5.48414557e+00 3.92625770e+00 1.02689295e-02
  2.15437893e+00 3.63788999e+00 2.05688986e+00 1.86232631e-01
  1.72169525e+00 2.17421427e-01 1.27267843e+00 3.31741928e+00
  2.38284564e-01 2.45225353e+00 4.58436879e-03 5.03461421e-01
  2.86293216e-01 1.09960584e-01 4.61145971e-02 1.23746312e+00
  1.58045310e-03 4.80150031e-01 1.96241256e-01 7.89783254e-01
  9.80932921e-01 2.20824620e+00 4.18646208e-03 5.15283741e+00
  2.85900838e-02 4.01546213e+00 1.15180198e+00 2.55891957e+00
  3.12698099e+00 2.04178604e-31 2.55457493e+00 3.90781377e-02
  1.13321409e-31 5.17326911e-32 3.13401070e+00 7.26668435e-04
  0.00000000e+00 0.00000000e+00 8.12821414e-33 8.19074406e-33]]","[[ 8.97259616e-01  2.87882930e-01  3.73931647e+00  9.30621102e-01
   1.47774405e-01  4.52972932e+00  3.83430685e+00 -1.98221302e-01
   2.84313847e+00  3.69435509e+00 -2.77301071e+00 -8.36559388e-01
   2.54536849e+00  9.07458231e-01  2.18538705e+00  3.52294721e+00
  -9.47009915e-01 -3.03305044e+00 -1.31488042e-01  1.37303097e+00
  -1.03201808e+00 -6.42392033e-01 -4.17380882e-01 -2.15285165e+00
   7.74712930e-02 -1.34098670e+00 -8.57885653e-01 -1.71806439e+00
  -1.91791063e+00 -2.87423971e+00 -1.24151510e-01 -4.39270927e+00
  -3.27093589e-01  3.88117554e+00  2.07652478e+00 -3.09639891e+00
   3.42549713e+00 -2.02623922e-16  3.08816427e+00 -3.81577184e-01
  -1.91410898e-16 -1.54024716e-16  3.42427991e+00  5.28136034e-02
   0.00000000e+00  0.00000000e+00 -9.38492417e-17 -4.58096439e-17]]",6
"[[2.50715426e-01 2.53642739e-02 4.31736166e+00 2.66487186e-01
  6.79191917e-03 6.33490991e+00 4.54178391e+00 1.25423289e-02
  2.50120729e+00 4.22297042e+00 2.37255745e+00 2.16839010e-01
  2.01027585e+00 2.57432757e-01 1.47808797e+00 3.83158968e+00
  2.78262447e-01 2.84603180e+00 5.37285178e-03 5.82357095e-01
  3.27650973e-01 1.27748977e-01 5.42429761e-02 1.43209546e+00
  1.88138715e-03 5.55637432e-01 2.27600962e-01 9.10447730e-01
  1.13767634e+00 2.55025487e+00 4.71500597e-03 5.96140103e+00
  3.30364083e-02 4.66039706e+00 1.33181051e+00 2.96325120e+00
  3.63139197e+00 2.07709439e-31 2.93982935e+00 4.48170889e-02
  1.21720170e-31 1.52907299e-31 3.62018312e+00 8.97377531e-04
  0.00000000e+00 0.00000000e+00 8.04693200e-33 3.24605025e-32]]","[[ 1.00667327e+00  3.14663175e-01  4.15154254e+00  1.02776846e+00
   1.65617126e-01  5.02838961e+00  4.26006637e+00 -2.27144312e-01
   3.16576131e+00  4.11324650e+00 -3.07556867e+00 -9.33094197e-01
   2.84382129e+00  1.02210361e+00  2.43389902e+00  3.91047990e+00
  -1.05812614e+00 -3.37650718e+00 -1.47223952e-01  1.52543512e+00
  -1.13910343e+00 -7.15586447e-01 -4.68322484e-01 -2.39254666e+00
   8.75213146e-02 -1.49024099e+00 -9.54640559e-01 -1.90481382e+00
  -2.13422831e+00 -3.19021539e+00 -1.35619585e-01 -4.88084979e+00
  -3.63175402e-01  4.32075935e+00  2.30650978e+00 -3.44244250e+00
   3.81484958e+00 -2.57011520e-16  3.42028478e+00 -4.21712074e-01
  -2.69901643e-16  1.80269484e-16  3.80123535e+00  6.08729994e-02
   0.00000000e+00  0.00000000e+00 -8.44643175e-17 -1.97278883e-16]]",7
"[[2.88795923e-01 2.79882495e-02 4.88625276e+00 2.98991304e-01
  7.80681214e-03 7.16804649e+00 5.14633261e+00 1.49937381e-02
  2.84446222e+00 4.80200614e+00 2.68059362e+00 2.47311738e-01
  2.29930274e+00 2.98538750e-01 1.68160164e+00 4.33491350e+00
  3.18283429e-01 3.23544220e+00 6.16605041e-03 6.59818288e-01
  3.67307049e-01 1.45400566e-01 6.24752308e-02 1.62346411e+00
  2.19185691e-03 6.29865108e-01 2.58550047e-01 1.02797419e+00
  1.29250858e+00 2.88490608e+00 5.19715201e-03 6.75586525e+00
  3.73931193e-02 5.29833555e+00 1.50843264e+00 3.36127485e+00
  4.13104505e+00 2.15241877e-31 3.31391560e+00 5.03388029e-02
  1.66492835e-31 1.58254891e-31 4.09625370e+00 1.08154688e-03
  0.00000000e+00 0.00000000e+00 8.38000872e-33 3.21358975e-32]]","[[ 1.10746971e+00  3.36840295e-01  4.51873393e+00  1.11252558e+00
   1.81961525e-01  5.47237993e+00  4.64026475e+00 -2.55192391e-01
   3.45603525e+00  4.49012577e+00 -3.34399943e+00 -1.02045331e+00
   3.11543345e+00  1.12889162e+00  2.65772914e+00  4.25539367e+00
  -1.15920385e+00 -3.68528567e+00 -1.61603569e-01  1.66148261e+00
  -1.23239488e+00 -7.81610788e-01 -5.15163521e-01 -2.60682216e+00
   9.69153572e-02 -1.62367760e+00 -1.04145402e+00 -2.07018485e+00
  -2.32849286e+00 -3.47132197e+00 -1.45064063e-01 -5.31692835e+00
  -3.95320078e-01  4.71605423e+00  2.51168013e+00 -3.75215250e+00
   4.16546230e+00 -3.29338587e-16  3.71346064e+00 -4.56805897e-01
  -2.84589973e-17  7.93168757e-17  4.13684390e+00  6.86832938e-02
   0.00000000e+00  0.00000000e+00 -9.63537173e-17 -1.77550994e-16]]",8
"[[3.27426522e-01 3.03797604e-02 5.44345596e+00 3.30168223e-01
  8.82902294e-03 7.98372573e+00 5.73995166e+00 1.76295347e-02
  3.18411712e+00 5.37500551e+00 2.98105015e+00 2.77647219e-01
  2.58876932e+00 3.40744016e-01 1.88322686e+00 4.82747857e+00
  3.58335275e-01 3.62044878e+00 6.96311882e-03 7.35845503e-01
  4.05303465e-01 1.62921254e-01 7.08020979e-02 1.81158907e+00
  2.51129663e-03 7.02847760e-01 2.89079052e-01 1.14236523e+00
  1.44543841e+00 3.21223290e+00 5.63389057e-03 7.53632880e+00
  4.16608111e-02 5.92926068e+00 1.68168208e+00 3.75299975e+00
  4.62595004e+00 2.22952964e-31 3.67698625e+00 5.56450091e-02
  1.70175111e-31 1.71940010e-31 4.56231333e+00 1.27861153e-03
  0.00000000e+00 0.00000000e+00 8.29620863e-33 3.56761823e-32]]","[[ 1.20048377e+00  3.54841789e-01  4.84536277e+00  1.18611574e+00
   1.96935825e-01  5.86713965e+00  4.97940849e+00 -2.82453204e-01
   3.71714378e+00  4.82916106e+00 -3.58166807e+00 -1.09953942e+00
   3.36287097e+00  1.22858339e+00  2.85933319e+00  4.56191592e+00
  -1.25121298e+00 -3.96279193e+00 -1.74747289e-01  1.78278068e+00
  -1.31328645e+00 -8.41198372e-01 -5.58260167e-01 -2.79820145e+00
   1.05699705e-01 -1.74287920e+00 -1.11928254e+00 -2.21625386e+00
  -2.50289647e+00 -3.72099449e+00 -1.52664445e-01 -5.70611672e+00
  -4.23917529e-01  5.07143640e+00  2.69448650e+00 -4.02911641e+00
   4.48118339e+00 -3.95719916e-16  3.97156657e+00 -4.87346002e-01
  -9.87376773e-17 -5.21772170e-17  4.43521440e+00  7.62330127e-02
   0.00000000e+00  0.00000000e+00 -8.67183456e-17 -9.76537690e-17]]",9
"[[3.66601231e-01 3.25456194e-02 5.98907244e+00 3.60040272e-01
  9.85715733e-03 8.78211943e+00 6.32268995e+00 2.04560143e-02
  3.52014646e+00 5.94197682e+00 3.27398092e+00 3.07841930e-01
  2.87866954e+00 3.84052526e-01 2.08297113e+00 5.30937506e+00
  3.98405737e-01 4.00101673e+00 7.76320687e-03 8.10439734e-01
  4.41681734e-01 1.80316698e-01 7.92139830e-02 1.99649021e+00
  2.83909111e-03 7.74600452e-01 3.19178593e-01 1.25362544e+00
  1.59647582e+00 3.53226971e+00 6.02633588e-03 8.30289182e+00
  4.58400989e-02 6.55315647e+00 1.85157360e+00 4.13843557e+00
  5.11611640e+00 2.20781757e-31 4.02919392e+00 6.07375481e-02
  1.68476717e-31 1.95794238e-31 5.01845482e+00 1.48789348e-03
  0.00000000e+00 0.00000000e+00 1.24830468e-32 3.53363825e-32]]","[[ 1.28646688e+00  3.69053250e-01  5.13545611e+00  1.24964074e+00
   2.10655183e-01  6.21756546e+00  5.28155376e+00 -3.09005466e-01
   3.95195270e+00  5.13410367e+00 -3.79160448e+00 -1.17116516e+00
   3.58853397e+00  1.32186378e+00  3.04092158e+00  4.83385293e+00
  -1.33502663e+00 -4.21209189e+00 -1.86763563e-01  1.89077641e+00
  -1.38303317e+00 -8.95008431e-01 -5.97932350e-01 -2.96895541e+00
   1.13915566e-01 -1.84927111e+00 -1.18898669e+00 -2.34489103e+00
  -2.65941365e+00 -3.94232503e+00 -1.58582528e-01 -6.05307047e+00
  -4.49318813e-01  5.39084487e+00  2.85713546e+00 -4.27656299e+00
   4.76547605e+00 -3.48511004e-16  4.19809054e+00 -5.13771158e-01
  -9.06961548e-17 -2.06877063e-16  4.70004642e+00  8.35116597e-02
   0.00000000e+00  0.00000000e+00 -1.43390219e-16 -9.20068800e-17]]",10
